id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	6703	Unknown	1	Adult	Unknown	1998	11	30		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.00639	31.65139	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6704	Zonk	4	Adult	Unknown	1998	7	1		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.21389	29.78472	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6705	Zonk	4	Adult	Unknown	1998	9	1		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.21389	29.78472	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6706	W Butcher	4	Adult	Unknown	1998	9	30		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.41528	29.95139	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6707	Unknown	4	Adult	Unknown	1998	9	30		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.34861	30.28611	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6708	Unknown	7	Adult	Unknown	1998	7	13		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.89222	29.35278	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6709	Unknown	21	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-30.28472	29.40278	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6710	Unknown	6	Adult	Unknown	1998	11	6		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.26806	29.66944	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6711	M. Moor	34	Adult	Unknown	1998	10	24		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.23194	29.76944	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6712	Unknown	90	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	Eastern Cape	Unknown		-30.34722	28.97000	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6713	Unknown	10	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	Eastern Cape	Unknown		-30.33333	29.13694	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	6714	Unknown	105	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	Eastern Cape	Unknown		-30.33333	29.13694	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6715	Unknown	60	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-30.53417	29.32056	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
