id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	86	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: Large red, Right: green/yellow		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	87	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: Large red, Right: none		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	88	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: Large red, Right: white		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	89	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: Large red, Right: yellow/white		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	90	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: orange, Right: Large red		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	91	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: yellow, Right: Large red		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	92	Bradley Gibbons	3	Adult	Unknown	2005	7	1	Leucistic crane included		South Africa	Eastern Cape	Unknown		-3.189.889	2.475.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	93	Bradley Gibbons	10	Adult	Unknown	2005	5	27	Most of the birds (on Nooitverwacht and Geelbekfontein) were just walking around the area.		South Africa	Northern Cape	Unknown		-3.140.250	2.415.472	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	94	Mark van Niekerk	2	Adult	Unknown	2005	5	19	"NB; Pair are preparing to nest in Rush Valley pan. Have introduced the fledged chick to the Grey-Crowned Cranes at 'Templer Horn'"		South Africa	Eastern Cape	Unknown		-3.085.028	2.821.278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	95	David Khakhane	1	Adult	Unknown	2005	6	16	"Near a road; Neck was bare - suspected to have been in captivity. David Khakhane and the police saw the bird."		South Africa	Northern Cape	Unknown		-3.001.806	2.467.000	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	96	Glenn Ramke	12	Adult	Feeding	2005	1	29	Near dam		South Africa	Mpumalanga	Unknown		-2.702.611	3.012.722	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	98	Bradley Gibbons	63	Adult	Unknown	2005	6	10	Near the pan - also a roosting site		South Africa	Northern Cape	Unknown		-3.155.083	2.408.667	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	99	Bradley Gibbons	10	Adult	Flying	2005	6	10	Near the roost site - the dam		South Africa	Northern Cape	Unknown		-3.154.639	2.409.083	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	100	Bradley Gibbons	2	Adult	Unknown	2005	10	12	Near the windmill		South Africa	Northern Cape	Unknown		-3.067.583	2.449.139	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	101	Glenn Ramke	1	Adult	Feeding	2005	1	4	Never seen a crane here before, very rocky and fairly closed in area to see BC		South Africa	Mpumalanga	Unknown		-2.730.528	3.029.667	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	102	Bradley Gibbons & Bennie van der Merwe	130	Adult	Feeding	2005	7	13	No rings could be seen. There were sheep on these lands together with the cranes. The cranes were flying around the lands.		South Africa	Eastern Cape	Unknown		-3.152.583	2.464.556	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
